0.00001	0.00001	        7500
4	35034.14338	7500
8	46221.45019	7500
12	59970.30421	7500
16	64440.02664	7500
20	82188.22079	7500
24	96999.81129	7500
28	138991.5051	7500
32	148788.5888	7500
36	169746.2335	7500
40	166870.5088	7500
44	213099.1872	7500
48	226724.0886	7500
52	225869.9005	7500
56	242703.3939	7500
60	260499.698	7500
64	281873.7477	7500
68	306238.0911	7500
72	321202.6665	7500
76	334730.1079	7500
80	362097.7383	7500
84	365675.885	7500
88	388004.3264	7500
92	407979.76	7500
